"","Player","BREF"
"1","Al Jefferson","https://www.basketball-reference.com/players/j/jeffeal01.html"
"2","Anderson Varejao","https://www.basketball-reference.com/players/v/varejan01.html"
"3","Andre Iguodala","https://www.basketball-reference.com/players/i/iguodan01.html"
"4","Ben Gordon","https://www.basketball-reference.com/players/g/gordobe01.html"
"5","Beno Udrih","https://www.basketball-reference.com/players/u/udrihbe01.html"
"6","Bernard Robinson","https://www.basketball-reference.com/players/r/robinbe01.html"
"7","Chris Duhon","https://www.basketball-reference.com/players/d/duhonch01.html"
"8","Delonte West","https://www.basketball-reference.com/players/w/westde01.html"
"9","Devin Harris","https://www.basketball-reference.com/players/h/harride01.html"
"10","Dorell Wright","https://www.basketball-reference.com/players/w/wrighdo01.html"
"11","Dwight Howard","https://www.basketball-reference.com/players/h/howardw01.html"
"12","Emeka Okafor","https://www.basketball-reference.com/players/o/okafoem01.html"
"13","J.R. Smith","https://www.basketball-reference.com/players/s/smithjr01.html"
"14","Jameer Nelson","https://www.basketball-reference.com/players/n/nelsoja01.html"
"15","Josh Childress","https://www.basketball-reference.com/players/c/childjo01.html"
"16","Josh Smith","https://www.basketball-reference.com/players/s/smithjo03.html"
"17","Kevin Martin","https://www.basketball-reference.com/players/m/martike02.html"
"18","Kirk Snyder","https://www.basketball-reference.com/players/s/snydeki01.html"
"19","Kris Humphries","https://www.basketball-reference.com/players/h/humphkr01.html"
"20","Luol Deng","https://www.basketball-reference.com/players/d/denglu01.html"
"21","Rafael Araujo","https://www.basketball-reference.com/players/a/araujra01.html"
"22","Robert Swift","https://www.basketball-reference.com/players/s/swiftro01.html"
"23","Royal Ivey","https://www.basketball-reference.com/players/i/iveyro01.html"
"24","Sebastian Telfair","https://www.basketball-reference.com/players/t/telfase01.html"
"25","Shaun Livingston","https://www.basketball-reference.com/players/l/livinsh01.html"
"26","Tony Allen","https://www.basketball-reference.com/players/a/allento01.html"
"27","Trevor Ariza","https://www.basketball-reference.com/players/a/arizatr01.html"
"28","Viktor Khryapa","https://www.basketball-reference.com/players/k/khryavi01.html"
"29","Sasha Vujacic","https://www.basketball-reference.com/players/v/vujacsa01.html"
"30","Andris Biedrins","https://www.basketball-reference.com/players/b/biedran01.html"
